MPO_AREA,MPO_FIPS,MPO_NAME,population,injuries,collisions,injury_rate,collision_rate,year
Atlanta,ARC,Atalanta Regional Commission,4439074,1707,1617,7.69079316992688,7.285303196117027,2014
Austin,CAMPO,Capital Area Metropoltian Planning Organization,1878927,923,837,9.824756363605397,8.909340277722338,2014
Baltimore,BMC,Baltimore Metropolitan Council,2131125,853,794,8.00516159305531,7.451463428940114,2014
Bay Area,MTC,Metropolitan Transportation Commission,7360487,1851,1752,5.029558506115152,4.760554566566043,2014
Boston,MAPC,Metropolitan Area Planning Council,4228787,909,870,4.299105157105336,4.114655100859892,2014
Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,1340886,544,522,8.11403803157017,7.785896787646378,2014
Chicago,CMAP,Chicago Metropolitan Agency for Planning,8487546,2002,1854,4.717500205595351,4.368753936650241,2014
Dallas,NCTCOG,North Central Texas Council of Governments,6818412,2893,2672,8.485846851143638,7.837602069220809,2014
Denver,DRCOG,Denver Regional Council of Governments,2916839,840,785,5.759659686393387,5.3825391116890575,2014
Detroit,SEMCOG,Southeast Michigan Council of Governments,4706797,1789,1675,7.601772500492373,7.117366650824329,2014
Houston,H-GAC,Houston-Galveston Area Council,6371624,3162,2928,9.92525610425223,9.190749485531475,2014
Los Angeles,SCAG,Southern California Association of Governments,18418835,6509,6017,7.067765143669511,6.533529400746573,2014
Miami,SEFTC,Southeast Florida Transportation Council,5775204,2750,2585,9.523473110213942,8.952064723601106,2014
Minneapolis,Met Council,Metropolitan Council,2920637,529,482,3.6224974209393364,3.3006498239938757,2014
New York City,NYMTC,New York Metropolitan Transportation Council,12586065,2807,2666,4.4604886435911455,4.236431323054505,2014
Newark,NJPTA,North Jersey Transporttrion Planning Authority,6657815,1827,1728,5.4882870731613895,5.190892207128015,2014
Orlando,MetroPlan,Metro Plan Orlando,1921825,1055,971,10.979147424973657,10.104978340899926,2014
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,5671712,1867,1759,6.58355008152741,6.202712690630272,2014
Phoenix,MAG,Maricopa Association of Governments,4337542,2045,1900,9.429303508761414,8.760722086379797,2014
Portland,Metro,Oregon Metro,1689519,401,385,4.746913174696467,4.557510155257207,2014
Sacramento,SACOG,Sacramento Area Council of Governments,2365548,1021,936,8.632249271627545,7.913599724038574,2014
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,2218580,1194,1105,10.76364160859649,9.961326614320871,2014
San Diego,SANDAG,San Diego Association of Governments,3183143,1036,975,6.509289717741238,6.126020728569216,2014
Seattle,PSRC,Puget Sound Regional Council,3810651,886,839,4.650124086409382,4.40344707505358,2014
St Louis,EWG,East-West Gateway Council of Governments,2262169,972,905,8.593522411455554,8.001170557991026,2014
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,4331113,2769,2594,12.786551632340231,11.978445263376873,2014
Washington DC,COG,Metropolitan Washington Council of Governments,5018733,1341,1232,5.343978251084486,4.909605671391565,2014
Atlanta,ARC,Atalanta Regional Commission,4511603,1804,1714,7.997157551318234,7.5981862765850625,2015
Austin,CAMPO,Capital Area Metropoltian Planning Organization,1933238,1011,916,10.459136433279296,9.476329350033465,2015
Baltimore,BMC,Baltimore Metropolitan Council,2147364,861,795,8.019134157040911,7.40442700911443,2015
Bay Area,MTC,Metropolitan Transportation Commission,7458169,2017,1911,5.408834259454297,5.12458218632482,2015
